x,y,class
2175,316,subject
167,317,subject
234,317,subject
1492,317,subject
2261,317,subject
1571,318,subject
2448,318,subject
1793,319,subject
653,320,subject
1364,320,subject
1594,320,subject
1746,320,subject
1856,320,subject
1446,321,subject
1513,321,subject
2122,322,subject
193,323,subject
264,326,subject
1772,326,subject
17,327,subject
1029,328,subject
2251,328,subject
1684,329,subject
1539,330,subject
1732,330,subject
2070,331,subject
425,332,subject
618,332,subject
726,332,subject
2384,332,subject
2440,332,subject
1090,333,subject
1663,334,subject
1781,334,subject
225,335,subject
1340,335,subject
2435,335,subject
762,336,subject
1570,336,subject
1592,336,subject
1608,336,subject
1697,336,subject
2027,336,subject
1480,337,subject
1715,338,subject
1492,340,subject
1995,340,subject
1354,341,subject
2470,341,subject
1474,342,subject
1677,342,subject
2104,342,subject
1385,343,subject
1639,343,subject
2089,343,subject
2178,343,subject
2297,343,subject
2209,344,subject
2321,344,subject
1736,345,subject
1976,345,subject
2332,347,subject
175,348,subject
1587,348,subject
2229,348,subject
2249,349,subject
900,350,subject
964,350,subject
1445,350,subject
2068,351,subject
421,353,subject
1660,354,subject
255,355,subject
1705,356,subject
1904,356,subject
2271,356,subject
2293,356,subject
2462,356,subject
940,357,subject
991,357,subject
1763,358,subject
1543,359,subject
2076,359,subject
2151,361,subject
542,362,subject
1156,362,subject
1479,363,subject
733,364,subject
1459,366,subject
1740,366,subject
2391,366,subject
2481,366,subject
437,367,subject
950,367,subject
1788,367,subject
2321,367,subject
1049,368,subject
1415,368,subject
1808,368,subject
1875,368,subject
2418,368,subject
1241,369,subject
1677,369,subject
2238,369,subject
2253,369,subject
1131,370,subject
2161,370,subject
2208,370,subject
282,371,subject
1581,371,subject
1694,372,subject
2432,373,subject
2460,375,subject
2284,376,subject
333,377,subject
850,377,subject
1516,377,subject
1095,378,subject
1492,378,subject
1256,379,subject
1487,379,subject
1538,379,subject
1612,379,subject
1717,381,subject
2395,381,subject
204,382,subject
1770,383,subject
930,384,subject
1865,384,subject
991,386,subject
1116,386,subject
1186,386,subject
823,387,subject
1165,387,subject
1846,387,subject
1323,388,subject
1467,388,subject
1573,388,subject
1935,388,subject
2023,388,subject
547,389,subject
1392,389,subject
436,390,subject
1404,390,subject
1663,390,subject
2441,390,subject
1083,391,subject
1264,391,subject
1753,391,subject
2187,391,subject
2238,391,subject
535,392,subject
1003,392,subject
1560,392,subject
2471,392,subject
1016,393,subject
1677,393,subject
1803,394,subject
2145,394,subject
958,396,subject
905,397,subject
1442,397,subject
1716,397,subject
140,398,subject
1606,399,subject
1830,399,subject
1075,400,subject
1322,400,subject
1484,402,subject
426,403,subject
887,403,subject
1150,403,subject
2001,403,subject
2415,403,subject
359,404,subject
1125,404,subject
1288,404,subject
802,405,subject
1214,405,subject
1699,405,subject
987,406,subject
1547,406,subject
1341,407,subject
1496,407,subject
1583,407,subject
1658,407,subject
2372,407,subject
427,408,subject
1199,408,subject
2441,408,subject
930,409,subject
2041,409,subject
2436,409,subject
329,410,subject
1384,410,subject
1632,410,subject
2257,410,subject
2359,410,subject
450,411,subject
762,412,subject
2134,412,subject
2061,413,subject
484,414,subject
1320,414,subject
1961,414,subject
2105,414,subject
2292,414,subject
2330,414,subject
214,415,subject
1521,415,subject
2388,415,subject
1073,416,subject
1722,416,subject
2176,416,subject
2227,416,subject
2308,416,subject
395,417,subject
1176,417,subject
360,418,subject
916,418,subject
1672,418,subject
1597,419,subject
1879,419,subject
1006,421,subject
1108,421,subject
1293,421,subject
1409,421,subject
1433,421,subject
194,423,subject
318,423,subject
1274,423,subject
1929,423,subject
427,424,subject
958,424,subject
2135,424,subject
2270,424,subject
2359,424,subject
1555,425,subject
1577,426,subject
1872,426,subject
1159,427,subject
1209,427,subject
1020,428,subject
2420,428,subject
820,429,subject
1624,430,subject
2223,430,subject
426,431,subject
1249,431,subject
1450,431,subject
2241,431,subject
341,433,subject
1047,433,subject
1676,433,subject
2006,433,subject
2047,433,subject
784,434,subject
2120,434,subject
219,435,subject
2470,435,subject
741,436,subject
1476,436,subject
2452,436,subject
311,437,subject
2265,437,subject
2312,437,subject
921,438,subject
1659,438,subject
2162,438,subject
2279,438,subject
1061,439,subject
1079,439,subject
2149,439,subject
1186,440,subject
1202,440,subject
1530,440,subject
2184,440,subject
2480,440,subject
860,441,subject
875,441,subject
938,441,subject
903,442,subject
1321,442,subject
1408,442,subject
2081,442,subject
39,443,subject
779,443,subject
717,444,subject
984,444,subject
1099,444,subject
1599,444,subject
1945,444,subject
2342,444,subject
369,445,subject
457,445,subject
943,445,subject
414,446,subject
434,446,subject
1970,446,subject
1276,447,subject
357,448,subject
1116,448,subject
1570,448,subject
328,449,subject
738,450,subject
1239,450,subject
1390,450,subject
1483,450,subject
1851,450,subject
1558,451,subject
2266,451,subject
1168,452,subject
177,453,subject
2207,453,subject
2235,453,subject
2380,453,subject
1044,454,subject
2010,454,subject
1181,456,subject
1987,456,subject
2102,456,subject
2461,456,subject
833,457,subject
922,458,subject
1435,458,subject
1507,458,subject
1629,458,subject
2028,458,subject
1075,459,subject
1314,459,subject
1334,459,subject
2165,459,subject
2244,459,subject
966,460,subject
1128,460,subject
774,461,subject
1646,461,subject
2080,461,subject
1937,462,subject
895,463,subject
1013,464,subject
2345,464,subject
2422,464,subject
1297,465,subject
1587,465,subject
1786,465,subject
194,466,subject
641,466,subject
2266,466,subject
2317,466,subject
166,467,subject
1224,467,subject
2146,467,subject
1199,468,subject
1560,468,subject
373,469,subject
812,469,subject
599,470,subject
1060,470,subject
345,471,subject
334,472,subject
878,472,subject
1262,472,subject
1924,472,subject
2383,472,subject
361,473,subject
941,473,subject
2046,473,subject
33,474,subject
1174,474,subject
1542,474,subject
2222,474,subject
1158,475,subject
2300,475,subject
414,476,subject
1375,476,subject
558,477,subject
910,477,subject
1989,477,subject
2411,477,subject
621,478,subject
863,478,subject
677,479,subject
1298,479,subject
2340,479,subject
1197,480,subject
2185,480,subject
221,481,subject
737,481,subject
753,481,subject
830,481,subject
1037,481,subject
2072,481,subject
170,482,subject
657,482,subject
798,482,subject
2029,482,subject
2159,482,subject
489,483,subject
1006,483,subject
2195,483,subject
79,484,subject
535,484,subject
1214,484,subject
891,485,subject
868,486,subject
1076,486,subject
1087,487,subject
1266,487,subject
390,488,subject
1407,488,subject
1917,488,subject
643,489,subject
2121,489,subject
1795,490,subject
2091,490,subject
2367,490,subject
1056,491,subject
7,492,subject
595,492,subject
2223,492,subject
0,494,subject
521,494,subject
560,494,subject
758,494,subject
1136,494,subject
2263,494,subject
2393,494,subject
614,495,subject
980,495,subject
2000,495,subject
2491,495,subject
1167,496,subject
2325,496,subject
722,497,subject
792,497,subject
852,497,subject
905,497,subject
1027,497,subject
1980,497,subject
1251,498,subject
1575,498,subject
