,tile_id,x,y,physical_x,physical_y,area,ratio,size,r1,r2,theta,weight,density,mean_distance,moran-I,p-value
322cb2dbcc417d4cd67511dd69f3c76f,NULL,205.5,841.5,205.5,841.5,165.36228986244143,0.1587994247674942,62,18.206180572509766,2.8911309242248535,2.775543689727783,0.2172675521821631,0.09375,7.1996542868109445,-0.3230552796807525,1
97f88c1263826766f6007c7704062a5d,NULL,1307.5,844.5,1307.5,844.5,197.7984414496221,0.35955795645713806,61,13.232809066772461,4.757961750030518,0.822859525680542,0.2199935711989712,0.03125,0,-1.0000000000000002,1
196b87b378c4b1f388c2b39d36168320,NULL,1437,838.5,1437,838.5,9.42477840500708,0.6000000238418579,10,2.2360680103302,1.341640830039978,2.677945137023926,0.25176470588235295,0.0625,2.5124689052802225,-1,1
33dec5a28514b9fa2dcf3fc6a76ae8ab,NULL,1614.5,839,1614.5,839,22.5898092064411,0.20018580555915833,13,5.993281841278076,1.1997699737548828,2.5575993061065674,0.2530920060331825,0.0625,2.23606797749979,-1,1
de619b53a964d3002b32e4fc0205980c,NULL,2368,837.5,2368,837.5,4.039181221710777,0.3073163628578186,5,2.045403003692627,0.6285858154296875,2.930499315261841,0.2564705882352941,0.03125,0,-1.0000000000000002,1
15bb2011daa4dbccb25a87a4ee47a147,NULL,103,856,103,856,2798.709374371495,0.4219506084918976,911,45.948692321777344,19.388078689575195,2.849313974380493,0.1720453713867553,0.03125,0,-1.0000000000000002,1
77facb80443cb0f1113334d4fc6a3e9b,NULL,216,841,216,841,20.9007847403175,0.5678472518920898,14,3.4228715896606445,1.9436681270599365,2.194819450378418,0.24705882352941178,0.03125,0,-1.0000000000000002,1
503b182a04a87b1d53d54afe45d7d4f5,NULL,245.5,838,245.5,838,0,0,6,5,0,0,0.25620915032679736,0.03125,0,-1.0000000000000002,1
5ffa61781f21cc84bf32ebfc64d04bbc,NULL,697.5,842,697.5,842,88.40771359662297,0.5588070154190063,33,7.096418380737305,3.9655284881591797,2.976560592651367,0.2294711824123589,0.03125,0,-1.0000000000000002,1
859eaa2720112fcb10e862b67a3246fc,NULL,907,842,907,842,86.22775360210903,0.7534209489822388,30,6.03572940826416,4.547444820404053,0.10886263102293015,0.23032679738562095,0.0625,5.129571132170798,-1,1
909011af2a010016894ee819a2765187,NULL,1035,839.5,1035,839.5,10.771045152660284,0.8399898409843445,8,2.0203051567077637,1.697035789489746,0.141897052526474,0.2372549019607843,0.0625,4.123105625617661,-0.9999999999999999,1
d64c151bdf39835ca5c5dcebace8f9ce,NULL,1043,841.5,1043,841.5,119.15273090769371,0.3791034519672394,50,10.0022611618042,3.7918918132781982,0.021263763308525085,0.21788235294117633,0.0625,4.123105625617661,-0.9999999999999999,1
b80aaa46a1897d30540b32611f16813f,NULL,1254.5,841.5,1254.5,841.5,104.82725398580023,0.40713661909103394,64,9.052990913391113,3.6858041286468506,3.0333411693573,0.1547794117647058,0.03125,0,-1.0000000000000002,1
4c57a0c14d5cdacde62e87e6d4793c45,NULL,1327.5,844,1327.5,844,329.61256905660355,0.3619747757911682,184,17.025026321411133,6.162630081176758,3.0873658657073975,0.15899403239556653,0.03125,0,-1.0000000000000002,1
25583589733273e45c27bb8213d142b5,NULL,1976.5,839.5,1976.5,839.5,37.441393559384224,0.23958870768547058,23,7.052902698516846,1.6897958517074585,3.0190348625183105,0.23307757885763003,0.03125,0,-1.0000000000000002,1
f3dfb6de67ca4e1200c9e881e49aac52,NULL,1536.5,849,1536.5,849,639.4288949673913,0.3223171532154083,112,25.129247665405273,8.099587440490723,2.4281160831451416,0.23319327731092399,0.03125,0,-1.0000000000000002,1
a2767c68eae990d5bd60cf72afccb729,NULL,1809.5,843,1809.5,843,101.91326873735531,0.3755565881729126,56,9.294001579284668,3.4904234409332275,2.8893957138061523,0.24159663865546213,0.03125,0,-1.0000000000000002,1
175d486cb4ab6702eca2af6e96cc3be0,NULL,1959.5,846,1959.5,846,349.55827718398155,0.2779853641986847,140,20.006628036499023,5.561549663543701,0.5553454160690308,0.20504201680672218,0.03125,0,-1.0000000000000002,1
58904355015dc5d059d6a7dcc9309ecc,NULL,483.5,843.5,483.5,843.5,47.268028863106565,0.9970927834510803,15,3.8845527172088623,3.8732595443725586,0.6883587837219238,0.23058823529411765,0.03125,0,-1.0000000000000002,1
29976b838cdce3256fa365343f64c16b,NULL,1855,842,1855,842,26.808182028600577,0.37960678339004517,15,4.741238117218018,1.7998061180114746,2.5748634338378906,0.2366013071895425,0.0625,5.220153254455275,-1,1
18b4b938616d0024fbf8c71daef9ca45,NULL,2304,841.5,2304,841.5,46.89688282623152,0.2270432561635971,23,8.108541488647461,1.8409897089004517,2.977787494659424,0.23512361466325662,0.03125,0,-1.0000000000000002,1
ce20c9509c8bd782c0771abd18af326d,NULL,245,846.5,245,846.5,336.8554013460576,0.3255014419555664,120,18.149738311767578,5.907765865325928,0.1285417079925537,0.22297385620914986,0.03125,0,-1.0000000000000002,1
61375818cb0c6bf12debb2edab6e783a,NULL,629.5,841,629.5,841,0,0,4,3,0,0,0.23823529411764705,0.0625,4.257346591481601,-1,1
ab84c7ee6022f70561f15680d46f80db,NULL,1288.5,848.5,1288.5,848.5,357.34095581663985,0.38514718413352966,160,17.18514060974121,6.618808746337891,0.509789764881134,0.1859803921568623,0.03125,0,-1.0000000000000002,1
bfa7642a6d815e2c08e4cc0c591c5989,NULL,1351,847.5,1351,847.5,158.82074714968172,0.6054179072380066,68,9.1379976272583,5.5323076248168945,2.6371941566467285,0.23471741637831606,0.03125,0,-1.0000000000000002,1
eec96d0cdfc4ac00692cdd98a8b62d2b,NULL,1053.5,843,1053.5,843,11.063648727736346,0.3847506642341614,11,3.0254123210906982,1.1640293598175049,0.12970253825187683,0.2281639928698752,0.03125,0,-1.0000000000000002,1
c0bbe6a20087e38b491e973874d2dc5a,NULL,2225,849.5,2225,849.5,396.5986892769753,0.36275503039360046,156,18.654945373535156,6.767175197601318,2.875826597213745,0.21606334841628916,0.03125,0,-1.0000000000000002,1
5fb30afb8108fd6dde3d814eddd0f44d,NULL,629,849.5,629,849.5,352.34138733181896,0.4379976987838745,132,16.00187873840332,7.008786201477051,0.015325481072068214,0.20493166963755158,0.0625,4.257346591481601,-1,1
